representation,model,JAccneu_D,Acc_full_D,Acc_nocue_D,Acc_cf_D,SuccD,IDR_raw_D,IDR_cond_D,G_D,G_active_D,p_active_D,G_active_pct_D,Degenerate_Rate_D,Degenerate_D,NS_frame_D,JCR_frame_D,Flip_frame_D,NS_vis_D,JCR_vis_D,Flip_vis_D,Avg_NS_D,Avg_JCR_D,LES_frame_D,d_logit_frame_D,LES_frame_method,LES_vis_D,d_logit_vis_D,LES_vis_method,n_rows_D_raw,n_groups_D,source
composite,claude-sonnet-4-6,0.25,0.25,0.333333,0.916667,0.25,0.25,1,12,3,0.25,0.25,0.666667,nondegenerate,0.875,0.75,0.25,0.916667,0.916667,0.083333,0.895833,0.833333,0,0,L3_McNemar,0,0,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/claude-sonnet-4-6/score_per_row.jsonl
composite,gemini-2.0-flash,0.666667,0.666667,0.583333,0.75,0.666667,0.583333,0.875,12,8,0.666667,0.666667,0.25,nondegenerate,0.541667,0.083333,0.916667,0.75,0.75,0.25,0.645833,0.416667,0,0,L3_McNemar,0.693147,0.382152,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/gemini-2.0-flash/score_per_row.jsonl
composite,gemini-2.5-flash-lite,0.75,0.75,0.75,0.333333,0.75,0.166667,0.222222,12,9,0.75,0.75,0.75,nondegenerate,0.5,0,1,0.75,0.75,0.25,0.625,0.375,0,0,L3_McNemar,0.693147,0.382152,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/gemini-2.5-flash-lite/score_per_row.jsonl
composite,gemini-3-flash-preview,0.833333,0.833333,1,0.25,0.833333,0.2,0.2,10,10,1,1,0.8,nondegenerate,0.95,0.888889,0.111111,1,1,0,0.975,0.944444,0,0,L3_McNemar,0,0,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/gemini-3-flash-preview/score_per_row.jsonl
composite,gpt-4o,0.75,0.75,0.666667,0.75,0.75,0.5,0.666667,12,9,0.75,0.75,0.5,nondegenerate,0.5,0,1,0.916667,0.916667,0.083333,0.708333,0.458333,0,0,L3_McNemar,0,0,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/gpt-4o/score_per_row.jsonl
composite,gpt-5.4,0.75,0.75,0.75,0.5,0.75,0.333333,0.444444,12,9,0.75,0.75,0.583333,nondegenerate,0.625,0.25,0.75,0.666667,0.666667,0.333333,0.645833,0.458333,0,0,L3_McNemar,0,0,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/gpt-5.4/score_per_row.jsonl
composite,kimi-k2.5,0.833333,0.833333,0.75,0.666667,0.833333,0.583333,0.7,12,10,0.833333,0.833333,0.333333,nondegenerate,0.541667,0.25,0.75,0.5,0.5,0.5,0.520833,0.375,0.693147,0.382152,L3_McNemar,1.609438,0.88733,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/kimi-k2.5/score_per_row.jsonl
composite,qwen3-235b-a22b,1,1,1,0,1,0,0,12,12,1,1,1,success_biased,0.5,0,1,1,1,0,0.75,0.5,0,0,L3_McNemar,0,0,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/qwen3-235b-a22b/score_per_row.jsonl
composite,qwen3-32b,0,0,0,1,0,0,,12,0,0,0,1,all_fail,1,1,0,1,1,0,1,1,0,0,L3_McNemar,0,0,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/qwen3-32b/score_per_row.jsonl
composite,qwen3-8b,1,1,1,0,1,0,0,12,12,1,1,1,success_biased,1,1,0,1,1,0,1,1,0,0,L3_McNemar,0,0,L3_McNemar,144,12,frozen_outputs/minigrid/taskd-r/qwen3-8b/score_per_row.jsonl
